Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Varsims,com.bina.varsim.util,SimpleReference,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.types.ChrString
Varsims,com.bina.varsim.util,VCFparser,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.logging.LoggingCounter; com.bina.varsim.types.VCFInfo; com.bina.varsim.types.ChrString
Varsims,com.bina.varsim.util,VCFparser,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_FILTER
Varsims,com.bina.varsim.util,VCFparser,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
Varsims,com.bina.varsim.util,VCFparser,Law of Demeter violation,The tool detected the smell in this method (processLine) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.substring; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.util,VCFparser,Law of Demeter violation,The tool detected the smell in this method (processLine) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.substring; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.util,VCFparser,Law of Demeter violation,The tool detected the smell in this method (processLine) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.length; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.util,VCFparser,Law of Demeter violation,The tool detected the smell in this method (processLine) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.length; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.util,VCFparser,Law of Demeter violation,The tool detected the smell in this method (processLine) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.varsim.types.FlexSeq.substring; com.bina.varsim.types.variant.alt.Alt.getSeq
Varsims,com.bina.varsim.util,VCFparserTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.util.VCFparser
